2023-03-08 13:29:44 , 21.8 °C , 55.0 % , 3605.4 hPa , 0.2 ppm , 0.0 ppm
2023-03-08 16:17:29 , 21.8 °C , 55.0 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:17:34 , 21.9 °C , 55.0 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:17:39 , 21.8 °C , 55.0 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:17:44 , 21.8 °C , 54.9 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:17:49 , 21.8 °C , 55.0 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:17:54 , 21.8 °C , 55.0 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:17:59 , 21.8 °C , 55.0 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:18:04 , 21.8 °C , 55.0 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:18:09 , 21.8 °C , 54.9 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:18:14 , 21.9 °C , 54.9 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:18:19 , 21.9 °C , 54.9 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:18:24 , 21.9 °C , 54.9 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:18:29 , 21.9 °C , 54.9 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:18:34 , 21.8 °C , 54.9 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:18:39 , 21.8 °C , 54.9 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:18:44 , 21.9 °C , 54.8 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:18:49 , 21.8 °C , 54.8 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:18:54 , 21.8 °C , 54.9 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:18:59 , 21.8 °C , 54.9 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:19:04 , 21.9 °C , 54.9 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:19:09 , 21.9 °C , 54.8 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:19:14 , 21.8 °C , 54.9 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:19:19 , 21.8 °C , 54.8 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:19:24 , 21.9 °C , 54.9 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:19:29 , 21.8 °C , 54.8 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:19:34 , 21.9 °C , 54.8 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:19:39 , 21.9 °C , 54.8 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:19:44 , 21.8 °C , 54.8 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:19:49 , 21.9 °C , 54.8 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:19:54 , 21.9 °C , 54.8 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:19:59 , 21.9 °C , 54.8 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:20:04 , 21.8 °C , 54.8 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:20:09 , 21.8 °C , 54.8 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:20:14 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:20:19 , 21.8 °C , 54.8 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:20:24 , 21.9 °C , 54.7 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:20:29 , 21.9 °C , 54.7 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:20:34 , 21.9 °C , 54.8 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:20:39 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:20:45 , 21.9 °C , 54.7 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:20:49 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:20:54 , 21.9 °C , 54.7 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:21:00 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:21:05 , 21.9 °C , 54.8 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:21:10 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:21:15 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:21:20 , 21.9 °C , 54.7 % , 3602.4 hPa , 0.5 ppm , 0.2 ppm
2023-03-08 16:21:25 , 21.9 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:21:30 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:21:35 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:21:40 , 21.9 °C , 54.8 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:21:45 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:21:50 , 21.9 °C , 54.8 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:21:55 , 21.8 °C , 54.8 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:22:00 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:22:05 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:22:10 , 21.8 °C , 54.8 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:22:15 , 21.9 °C , 54.8 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:22:20 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:22:25 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:22:30 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:22:35 , 21.9 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:22:40 , 21.8 °C , 54.8 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:22:45 , 21.9 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:22:50 , 21.9 °C , 54.8 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:22:55 , 21.9 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:23:00 , 21.9 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:23:05 , 21.9 °C , 54.8 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:23:10 , 21.9 °C , 54.8 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:23:15 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:23:20 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:23:25 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:23:30 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:23:35 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:23:40 , 21.9 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:23:45 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:23:50 , 21.9 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:23:55 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:24:00 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:24:05 , 21.9 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:24:10 , 21.9 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:24:15 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:24:20 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:24:25 , 21.9 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
2023-03-08 16:24:30 , 21.8 °C , 54.7 % , 3602.4 hPa , 0.6 ppm , 0.2 ppm
